
  Tabla de NUMEROS PRIMOS del  1 al N.

         N        Pi          Tiempo

         1         0        0.003891
         2         1        0.000010
         4         2        0.000008
         8         4        0.000007
        16         6        0.000008
        32        11        0.000008
        64        18        0.000009
       128        31        0.000012
       256        54        0.000027
       512        97        0.000079
      1024       172        0.000267
      2048       309        0.000955
      4096       564        0.007810
      8192      1028        0.016844
     16384      1900        0.018184
     32768      3512        0.041044
     65536      6542        0.143213
    131072     12251        0.538313
    262144     23000        2.004470
    524288     43390        7.648621
10.423897 segundos de ejecucion 
01 July 2020 10:53:11 AM
