  EJECUCION EN OMP
  Tabla de NUMEROS PRIMOS del  1 al N.

         N        Pi          Tiempo

         1         0        0.002586
         2         1        0.000007
         4         2        0.000008
         8         4        0.000008
        16         6        0.000008
        32        11        0.000007
        64        18        0.000007
       128        31        0.000009
       256        54        0.000017
       512        97        0.000039
      1024       172        0.000109
      2048       309        0.000413
      4096       564        0.001473
      8192      1028        0.005629
     16384      1900        0.022280
     32768      3512        0.062580
     65536      6542        0.129386
    131072     12251        0.457205
    262144     23000        1.660443
    524288     43390        6.009906
8.353483 segundos de ejecucion 
05 August 2020 08:59:58 PM
