  EJECUCION EN SERIAL
  
  Tabla de NUMEROS PRIMOS del  1 al N.

         N        Pi          Tiempo

         1         0        0.000000
         2         1        0.000000
         4         2        0.000000
         8         4        0.000000
        16         6        0.000000
        32        11        0.000000
        64        18        0.000000
       128        31        0.000000
       256        54        0.000000
       512        97        0.000000
      1024       172        0.000000
      2048       309        0.000000
      4096       564        0.010000
      8192      1028        0.020000
     16384      1900        0.080000
     32768      3512        0.250000
     65536      6542        0.930000
    131072     12251        3.130000
    262144     23000       11.310000
    524288     43390       42.810000
58.540000 segundos de ejecucion 
05 August 2020 08:50:28 PM
